  263 cado            0.055% (60.0%) 
  264 oppidum         0.055% (60.1%) 
  265 scipio          0.055% (60.1%) 
  266 summus          0.055% (60.2%) 
  267 mors            0.054% (60.3%) 
  268 curo            0.054% (60.3%) 
  269 amicus          0.054% (60.4%) 
  270 loquor          0.054% (60.4%) 
  271 dignitas        0.053% (60.5%) 
  272 cogo            0.053% (60.5%) 
  273 oportet         0.053% (60.6%) 
  274 haud            0.053% (60.6%) 
  275 nego            0.053% (60.7%) 
  276 efficio         0.053% (60.7%) 
  277 constituo       0.053% (60.8%) 
  278 vita            0.052% (60.8%) 
  279 malo            0.052% (60.9%) 
  280 invenio         0.052% (60.9%) 
  281 vivo            0.051% (61.0%) 
  282 sto             0.051% (61.1%) 
  283 adverro         0.051% (61.1%) 
  284 cicero          0.051% (61.2%) 
  285 ob              0.051% (61.2%) 
  286 solo            0.051% (61.3%) 
  287 quin            0.051% (61.3%) 
  288 convenio        0.051% (61.4%) 
  289 patior          0.051% (61.4%) 
  290 lex             0.050% (61.5%) 
  291 malus           0.050% (61.5%) 
  292 multitudo       0.050% (61.6%) 
  293 coepio          0.050% (61.6%) 
  294 manus           0.049% (61.7%) 
  295 frater          0.049% (61.7%) 
  296 paulus          0.049% (61.8%) 
  297 aliqua          0.048% (61.8%) 
  298 trado           0.048% (61.9%) 
  299 caesar          0.048% (61.9%) 
  300 dum             0.048% (61.9%) 
  301 probo           0.048% (62.0%) 
  302 summum          0.048% (62.0%) 
  303 absum           0.047% (62.1%) 
  304 romae           0.047% (62.1%) 
  305 gens            0.047% (62.2%) 
  306 honestus        0.047% (62.2%) 
  307 sapio           0.047% (62.3%) 
  308 diligo          0.047% (62.3%) 
  309 nox             0.047% (62.4%) 
  310 patro           0.046% (62.4%) 
  311 pleo            0.046% (62.5%) 
  312 vito            0.046% (62.5%) 
  313 classis         0.046% (62.6%) 
  314 voluptas        0.046% (62.6%) 
  315 cur             0.045% (62.6%) 
  316 prope           0.045% (62.7%) 
  317 umquam          0.045% (62.7%) 
  318 fortuno         0.045% (62.8%) 
  319 consto          0.045% (62.8%) 
  320 honor           0.045% (62.9%) 
  321 scr             0.045% (62.9%) 
  322 mare            0.045% (63.0%) 
  323 praeter         0.044% (63.0%) 
  324 secundus        0.044% (63.0%) 
  325 sermo           0.044% (63.1%) 
  326 medius          0.044% (63.1%) 
  327 Cn.             0.044% (63.2%) 
  328 finis           0.044% (63.2%) 
  329 omnino          0.043% (63.3%) 
  330 genus           0.043% (63.3%) 
  331 voluntas        0.043% (63.4%) 
  332 superus         0.043% (63.4%) 
  333 caedo           0.043% (63.4%) 
  334 aetas           0.043% (63.5%) 
  335 tamquam         0.043% (63.5%) 
  336 dolor           0.043% (63.6%) 
  337 talis           0.043% (63.6%) 
  338 laudo           0.043% (63.7%) 
  339 romam           0.042% (63.7%) 
  340 sua             0.042% (63.7%) 
  341 valeo           0.042% (63.8%) 
  342 injuria         0.042% (63.8%) 
  343 brutus          0.042% (63.9%) 
  344 praesto         0.042% (63.9%) 
  345 doceo           0.042% (63.9%) 
  346 via             0.042% (64.0%) 
  347 armus           0.042% (64.0%) 
  348 metus           0.042% (64.1%) 
  349 romanis         0.042% (64.1%) 
  350 libertas        0.042% (64.2%) 
  351 confacio        0.042% (64.2%) 
  352 recingo         0.042% (64.2%) 
  353 amicitia        0.041% (64.3%) 
  354 concedo         0.041% (64.3%) 
  355 libo            0.041% (64.4%) 
  356 confero         0.041% (64.4%) 
  357 minimus         0.041% (64.4%) 
  358 postulo         0.041% (64.5%) 
  359 benus           0.041% (64.5%) 
  360 paucus          0.041% (64.6%) 
  361 imperator       0.041% (64.6%) 
  362 accedo          0.041% (64.7%) 
  363 necesse         0.041% (64.7%) 
  364 gallus          0.041% (64.7%) 
  365 denique         0.041% (64.8%) 
  366 tertius         0.040% (64.8%) 
  367 signo           0.040% (64.9%) 
  368 victoria        0.040% (64.9%) 
  369 fortuna         0.040% (64.9%) 
  370 audeo           0.040% (65.0%) 
  371 numero          0.040% (65.0%) 
  372 nolo            0.040% (65.1%) 
  373 suus            0.040% (65.1%) 
  374 fides           0.040% (65.1%) 
  375 quintus         0.039% (65.2%) 
  376 instituo        0.039% (65.2%) 
  377 privo           0.039% (65.3%) 
  378 adnato          0.039% (65.3%) 
  379 mens            0.039% (65.3%) 
  380 ordo            0.039% (65.4%) 
  381 contineo        0.038% (65.4%) 
  382 fallo           0.038% (65.4%) 
  383 adsum           0.038% (65.5%) 
  384 religio         0.038% (65.5%) 
  385 aequus          0.038% (65.6%) 
