394	aio	0.036	60.1	
395	terror	0.0358	60.1	
396	ob	0.0355	60.2	
397	ingenium	0.0355	60.2	
398	nemo	0.0354	60.2	
399	sumo	0.0354	60.3	
400	arx	0.0354	60.3	
401	templum	0.0353	60.3	
402	tot	0.0353	60.4	
403	decem	0.0352	60.4	
404	gallus	0.0352	60.4	
405	tergum	0.0351	60.5	
406	affero	0.0351	60.5	
407	munus	0.035	60.5	
408	amo	0.0348	60.6	
409	uictoria	0.0348	60.6	
410	praebeo	0.0347	60.7	
411	pateo	0.0347	60.7	
412	turba	0.0346	60.7	
413	orior	0.0345	60.8	
414	modus	0.0344	60.8	
415	humanus	0.0344	60.8	
416	aetas	0.0342	60.9	
417	clamor	0.0341	60.9	
418	intra	0.034	60.9	
419	abeo	0.0339	61.0	
420	exemplum	0.0338	61.0	
421	via	0.0336	61.0	
422	impero	0.0336	61.1	
423	tango	0.0335	61.1	
424	accedo	0.0334	61.1	
425	sicut	0.0334	61.2	
426	uia	0.0334	61.2	
427	nego	0.0333	61.2	
428	carmen	0.0332	61.3	
429	altus	0.0331	61.3	
430	occupo	0.033	61.3	
431	uerus	0.033	61.4	
432	unda	0.033	61.4	
433	consulo	0.0328	61.4	
434	parvus	0.0327	61.5	
435	sol	0.0327	61.5	
436	cur	0.0326	61.5	
437	cohors	0.0326	61.6	
438	tumultus	0.0326	61.6	
439	ciuis	0.0326	61.6	
440	sino	0.0325	61.7	
441	fabius	0.0324	61.7	
442	uterque	0.0323	61.7	
443	spatium	0.0323	61.8	
444	ulter	0.0319	61.8	
445	gravis	0.0318	61.8	
446	appello	0.0317	61.8	
447	ineo	0.0317	61.9	
448	collega	0.0317	61.9	
449	regio	0.0316	61.9	
450	novo	0.0316	62.0	
451	augeo	0.0315	62.0	
452	orbis	0.0314	62.0	
453	clades	0.0314	62.1	
454	rapio	0.0313	62.1	
455	uinco	0.0313	62.1	
456	sententia	0.0313	62.2	
457	dignus	0.0312	62.2	
458	claudo	0.0311	62.2	
459	coniunx	0.0311	62.3	
460	premo	0.031	62.3	
461	pello	0.031	62.3	
462	quinque	0.0309	62.3	
463	convenio	0.0308	62.4	
464	africa	0.0307	62.4	
465	T.	0.0307	62.4	
466	poena	0.0305	62.5	
467	excipio	0.0302	62.5	
468	philippus	0.0302	62.5	
469	ue	0.0302	62.6	
470	interim	0.0301	62.6	
471	uti	0.0301	62.6	
472	procedo	0.0301	62.7	
473	comes	0.0301	62.7	
474	igitur	0.03	62.7	
475	vester	0.03	62.7	
476	pereo	0.03	62.8	
477	ferrum	0.0299	62.8	
478	frumentum	0.0298	62.8	
479	levis	0.0298	62.9	
480	rursus	0.0298	62.9	
481	species	0.0298	62.9	
482	dea	0.0297	62.9	
483	hinc	0.0296	63.0	
484	tunc	0.0296	63.0	
485	tandem	0.0296	63.0	
486	foedus	0.0295	63.1	
487	efficio	0.0293	63.1	
488	romana	0.0293	63.1	
489	portus	0.0291	63.2	
490	sicilia	0.0291	63.2	
491	gloria	0.0291	63.2	
492	amicitia	0.029	63.2	
493	ferme	0.029	63.3	
494	casus	0.0289	63.3	
495	paulum	0.0287	63.3	
496	scipio	0.0286	63.4	
497	uirtus	0.0285	63.4	
498	queror	0.0284	63.4	
499	seu	0.0284	63.4	
500	cedo	0.0282	63.5	
501	quintus	0.0282	63.5	
502	integer	0.0281	63.5	
503	constituo	0.028	63.6	
504	ceterum	0.028	63.6	
505	aedes	0.028	63.6	
506	telum	0.0278	63.6	
