  235 portus          0.073% (60.9%) 
  236 dum             0.073% (60.9%) 
  237 manus           0.072% (61.0%) 
  238 sub             0.072% (61.1%) 
  239 L.              0.072% (61.1%) 
  240 galliae         0.072% (61.2%) 
  241 efficio         0.071% (61.3%) 
  242 consuetudo      0.071% (61.4%) 
  243 simul           0.071% (61.4%) 
  244 conor           0.071% (61.5%) 
  245 natura          0.071% (61.6%) 
  246 senatus         0.071% (61.6%) 
  247 demonstro       0.070% (61.7%) 
  248 appello         0.070% (61.8%) 
  249 impedimentum    0.070% (61.8%) 
  250 tueor           0.069% (61.9%) 
  251 committo        0.069% (62.0%) 
  252 tertius         0.069% (62.1%) 
  253 nuntio          0.069% (62.1%) 
  254 urbs            0.068% (62.2%) 
  255 animo           0.068% (62.3%) 
  256 potestas        0.068% (62.3%) 
  257 caesare         0.068% (62.4%) 
  258 mons            0.068% (62.5%) 
  259 equus           0.068% (62.5%) 
  260 cado            0.067% (62.6%) 
  261 amplus          0.067% (62.7%) 
  262 patior          0.067% (62.7%) 
  263 obsido          0.067% (62.8%) 
  264 gravis          0.066% (62.9%) 
  265 dimico          0.066% (62.9%) 
  266 multa           0.066% (63.0%) 
  267 princeps        0.065% (63.1%) 
  268 agmen           0.065% (63.1%) 
  269 subsidium       0.064% (63.2%) 
  270 gratia          0.064% (63.3%) 
  271 facultas        0.064% (63.3%) 
  272 pompei          0.064% (63.4%) 
  273 quidem          0.064% (63.4%) 
  274 centurio        0.064% (63.5%) 
  275 colloco         0.064% (63.6%) 
  276 arbitror        0.064% (63.6%) 
  277 pecunia         0.064% (63.7%) 
  278 gallia          0.064% (63.8%) 
  279 quantus         0.063% (63.8%) 
  280 annus           0.063% (63.9%) 
  281 tres            0.063% (64.0%) 
  282 medius          0.063% (64.0%) 
  283 pompeium        0.062% (64.1%) 
  284 mare            0.062% (64.1%) 
  285 caesari         0.062% (64.2%) 
  286 sero            0.061% (64.3%) 
  287 at              0.061% (64.3%) 
  288 sic             0.061% (64.4%) 
  289 castellum       0.061% (64.4%) 
  290 nuntius         0.061% (64.5%) 
  291 audio           0.061% (64.6%) 
  292 fugio           0.061% (64.6%) 
  293 intellego       0.061% (64.7%) 
  294 infero          0.060% (64.7%) 
  295 intermitto      0.060% (64.8%) 
  296 confido         0.060% (64.9%) 
  297 vallo           0.060% (64.9%) 
  298 dispono         0.059% (65.0%) 
  299 moveo           0.059% (65.0%) 
  300 confirmo        0.059% (65.1%) 
  301 summum          0.059% (65.2%) 
  302 conjungo        0.059% (65.2%) 
  303 cornus          0.058% (65.3%) 
  304 intro           0.058% (65.3%) 
  305 rex             0.058% (65.4%) 
  306 praeficio       0.058% (65.5%) 
  307 tribunus        0.058% (65.5%) 
  308 silva           0.058% (65.6%) 
  309 libo            0.057% (65.6%) 
  310 fortis          0.057% (65.7%) 
  311 quisquam        0.056% (65.7%) 
  312 supra           0.056% (65.8%) 
  313 gener           0.056% (65.9%) 
  314 fodio           0.056% (65.9%) 
  315 fuga            0.056% (66.0%) 
  316 rursus          0.056% (66.0%) 
  317 singulus        0.056% (66.1%) 
  318 auxilium        0.056% (66.1%) 
  319 ullus           0.056% (66.2%) 
  320 obtineo         0.056% (66.2%) 
  321 levis           0.056% (66.3%) 
  322 egredior        0.056% (66.4%) 
  323 spatior         0.055% (66.4%) 
  324 dexter          0.055% (66.5%) 
  325 conicio         0.055% (66.5%) 
  326 M.              0.055% (66.6%) 
  327 aqua            0.054% (66.6%) 
